Date,Kommune,Transit,Residential,Retail,Workplace
2020-05-06,Lyngby-Taarbæk,-41,18,-55,-47
2020-05-06,Mariagerfjord,-22,8,-16,-25
2020-05-06,Middelfart,-25,9,-10,-27
2020-05-06,Morsø,-27,10,-16,-26
2020-05-06,Næstved,-13,10,-10,-28
2020-05-06,Norddjurs,-29,7,-21,-23
2020-05-06,Nordfyns,-29,7,-10,-27
2020-05-06,Nyborg,-27,9,-10,-30
2020-05-06,Odder,-29,11,-21,-28
2020-05-06,Odense,-42,11,-23,-34
2020-05-06,Odsherred,-34,8,-8,-20
2020-05-06,Randers,-28,10,-1,-30
2020-05-06,Rebild,-27,10,-16,-30
2020-05-06,Ringkøbing-Skjern,-29,9,-21,-25
2020-05-06,Ringsted,-22,9,-22,-33
2020-05-06,Rødovre,-7,13,-45,-40
2020-05-06,Roskilde,-42,14,-25,-38
2020-05-06,Rudersdal,-31,17,-35,-44
2020-05-06,Samsø,-29,11,-21,-32
2020-05-06,Silkeborg,-23,11,0,-32
2020-05-06,Skanderborg,-22,13,-14,-34
2020-05-06,Skive,-2,8,-11,-29
2020-05-06,Slagelse,-37,10,-1,-31
2020-05-06,Solrød,-26,10,-8,-35
2020-05-06,Sønderborg,-18,9,-2,-26
2020-05-06,Sorø,-41,10,-8,-30
2020-05-06,Stevns,-27,10,-8,-31
